DATE,Forecast_0_Lag
1983-05-01,0.025244908506730012
1983-06-01,0.024785834127765832
1983-07-01,0.03791869175713663
1983-08-01,0.04342499477871211
1983-09-01,0.03961091652386388
1983-10-01,0.002229331797601078
1983-11-01,0.0022060531494622897
1983-12-01,0.005400655166616072
1984-01-01,0.026614692098037778
1984-02-01,0.040300432615409665
1984-03-01,0.04548475880513033
1984-04-01,0.04548484006744171
1984-05-01,0.045484984302932206
1984-06-01,0.04548574863325688
1984-07-01,0.045495887841089745
1984-08-01,0.0033379105378986917
1984-09-01,0.003462758664799759
1984-10-01,0.007228190230158908
1984-11-01,0.011730081350957924
1984-12-01,0.011506232026753225
1985-01-01,0.0029085059154667883
1985-02-01,0.005896423750763928
1985-03-01,0.005857607530966383
1985-04-01,0.0069339656634199165
1985-05-01,0.010402129461408791
1985-06-01,0.012172020099626259
1985-07-01,0.013996195275362744
1985-08-01,0.015128291538693385
1985-09-01,0.021219809563602875
1985-10-01,0.019167566977092012
1985-11-01,0.003196355317948941
1985-12-01,0.0022860640229909897
1986-01-01,0.0023206313807527996
1986-02-01,0.002323629455126798
1986-03-01,0.0018637564997912824
1986-04-01,0.001776403847903736
1986-05-01,0.0020312503501649253
1986-06-01,0.002298919739974207
1986-07-01,0.002209534819424189
1986-08-01,0.002818216520973463
1986-09-01,0.0027394190028077856
1986-10-01,0.0036997472869810606
1986-11-01,0.0019542271299564794
1986-12-01,0.0022020575123607587
1987-01-01,0.002295663176262528
1987-02-01,0.0015003931261673015
1987-03-01,0.0016462146888057778
1987-04-01,0.0019027009620413645
1987-05-01,0.001971064186189889
1987-06-01,0.0022580886573109232
1987-07-01,0.001856635130670006
1987-08-01,0.002051573882396216
1987-09-01,0.001804692737889525
1987-10-01,0.0015342759185774724
1987-11-01,0.0014232650722787264
1987-12-01,0.0013435776095044646
1988-01-01,0.001409631826645208
1988-02-01,0.011569659687183112
1988-03-01,0.011704179646708562
1988-04-01,0.011591420471503161
1988-05-01,0.011575552897492876
1988-06-01,0.0014812062983619607
1988-07-01,0.0016781838308828362
1988-08-01,0.0019589240345151493
1988-09-01,0.0032059202782681972
1988-10-01,0.0039362074780299496
1988-11-01,0.0038231172786711586
1988-12-01,0.0031744283438760366
1989-01-01,0.005601185700400096
1989-02-01,0.013951728338866655
1989-03-01,0.038393901377284954
1989-04-01,0.11694001716415868
1989-05-01,0.1583719880251451
1989-06-01,0.19028544296692787
1989-07-01,0.23605506014175473
1989-08-01,0.18210810411302938
1989-09-01,0.2481737651062134
1989-10-01,0.2688783590456459
1989-11-01,0.2991721712425053
1989-12-01,0.2981103857455652
1990-01-01,0.10189144146769293
1990-02-01,0.04893647014783319
1990-03-01,0.05562444143716692
1990-04-01,0.07376186907040433
1990-05-01,0.2063312033607204
1990-06-01,0.2752238508573554
1990-07-01,0.5648788898804168
1990-08-01,0.2998878154558804
1990-09-01,0.5560064715057209
1990-10-01,0.5788147898249397
1990-11-01,0.9048477033089423
1990-12-01,0.8980293251438388
1991-01-01,0.9166667445424431
1991-02-01,0.9161042130478707
1991-03-01,0.9097647902037634
1991-04-01,0.97497720918703
1991-05-01,0.9665483885951974
1991-06-01,0.9322003289318114
1991-07-01,0.843794765231897
1991-08-01,0.6639151530467272
1991-09-01,0.14029081726731565
1991-10-01,0.1330230000758209
1991-11-01,0.14814738768088462
1991-12-01,0.15810431615226772
1992-01-01,0.21135917727233702
1992-02-01,0.030252935499867756
1992-03-01,0.033829954537772204
1992-04-01,0.013409264081616891
1992-05-01,0.02039872809756354
1992-06-01,0.03769259223460796
1992-07-01,0.05375885146984841
1992-08-01,0.10853261546134478
1992-09-01,0.11630874377066003
1992-10-01,0.1184681625556525
1992-11-01,0.13233222443033085
1992-12-01,0.019119863536978064
1993-01-01,0.025728523800275845
1993-02-01,0.040160469849907975
1993-03-01,0.04832627137324382
1993-04-01,0.0478972903472202
1993-05-01,0.010344846607672422
1993-06-01,0.020453411488216753
1993-07-01,0.013018956591947023
1993-08-01,0.00945247601135088
1993-09-01,0.015899817177528253
1993-10-01,0.004979658532683122
1993-11-01,0.008200766814801285
1993-12-01,0.008739477175390543
1994-01-01,0.004716442084879739
1994-02-01,0.0013734200228173565
1994-03-01,0.001564608296538035
1994-04-01,0.001421516942961913
1994-05-01,0.0014114917325016073
1994-06-01,0.0014706641019660183
1994-07-01,0.0014446579529228225
1994-08-01,0.0013556283658888307
1994-09-01,0.0016351616416961836
1994-10-01,0.0015877692354948055
1994-11-01,0.0015731310882339227
1994-12-01,0.008501262031093528
1995-01-01,0.0030561624575961926
1995-02-01,0.007815077250327684
1995-03-01,0.024035220452777104
1995-04-01,0.08072802786381239
1995-05-01,0.1110611640345751
1995-06-01,0.2223061981546557
1995-07-01,0.2481897644283251
1995-08-01,0.10148116683986051
1995-09-01,0.08351181566608351
1995-10-01,0.07492249858934553
1995-11-01,0.0909050762884489
1995-12-01,0.12741223814456012
1996-01-01,0.11145854178816901
1996-02-01,0.1384079694351016
1996-03-01,0.14738057773545235
1996-04-01,0.046896058918950746
1996-05-01,0.026276212044401087
1996-06-01,0.011394828015643855
1996-07-01,0.007756757973678744
1996-08-01,0.009510836815183112
1996-09-01,0.011110531588182341
1996-10-01,0.012999340871940109
1996-11-01,0.020098350030858036
1996-12-01,0.010728774992145432
1997-01-01,0.010590839129736638
1997-02-01,0.010656857277825985
1997-03-01,0.01207435184876332
1997-04-01,0.010919087105521622
1997-05-01,0.010988287554192804
1997-06-01,0.008015361598694795
1997-07-01,0.009935025740798244
1997-08-01,0.01718153345640322
