DATE,RFC_Six_Memory
1985-02-01,0.011600426559778313
1985-03-01,0.01172547898224558
1985-04-01,0.012874498412626128
1985-05-01,0.009051688808082685
1985-06-01,0.0050873510650461745
1985-07-01,0.005227735628703591
1985-08-01,0.005294835113297913
1985-09-01,0.004742989543168891
1985-10-01,0.003914231983184107
1985-11-01,0.003998730948103285
1985-12-01,0.004240784640766749
1986-01-01,0.004228438791018067
1986-02-01,0.004514653181564635
1986-03-01,0.0061741356460122505
1986-04-01,0.009223747221543269
1986-05-01,0.011170152606658337
1986-06-01,0.01450722158910993
1986-07-01,0.0232025911584571
1986-08-01,0.019077956263853325
1986-09-01,0.013858417599294957
1986-10-01,0.008817975933215899
1986-11-01,0.010275609708855509
1986-12-01,0.00791765480531143
1987-01-01,0.004988029582578556
1987-02-01,0.006063588434322729
1987-03-01,0.007690737103119408
1987-04-01,0.013511595426053563
1987-05-01,0.010142513714861485
1987-06-01,0.01215196034516515
1987-07-01,0.012575812194114085
1987-08-01,0.009604246543783928
1987-09-01,0.008280719148012124
1987-10-01,0.010322528819917473
1987-11-01,0.013001738031860421
1987-12-01,0.040492273743567966
1988-01-01,0.07184923340564954
1988-02-01,0.00988716749406999
1988-03-01,0.006263927898988937
1988-04-01,0.005913212567076948
1988-05-01,0.010819964468119591
1988-06-01,0.010982851162420648
1988-07-01,0.01458597402208619
1988-08-01,0.020813790326736744
1988-09-01,0.032670099495402845
1988-10-01,0.03565839332309891
1988-11-01,0.05558841341504061
1988-12-01,0.1395529370198745
1989-01-01,0.24844384276608245
1989-02-01,0.2653300698101034
1989-03-01,0.3478057253978317
1989-04-01,0.3890536872342571
1989-05-01,0.4549473004003614
1989-06-01,0.3873389461653421
1989-07-01,0.387950908717533
1989-08-01,0.39267071199741904
1989-09-01,0.36534234958164036
1989-10-01,0.5841317239005868
1989-11-01,0.5775503358777602
1989-12-01,0.41684248279338626
1990-01-01,0.42139738920519015
1990-02-01,0.8151206593795369
1990-03-01,0.7031584988850326
1990-04-01,0.788939887802611
1990-05-01,0.7420216576068016
1990-06-01,0.8460019519582436
1990-07-01,0.831366791363558
1990-08-01,0.7679991580859405
1990-09-01,0.7043937206156144
1990-10-01,0.8372391047587681
1990-11-01,0.6495892749931251
1990-12-01,0.3890726218119567
1991-01-01,0.32398277411806814
1991-02-01,0.8654467146303699
1991-03-01,0.8563639104449988
1991-04-01,0.8509541081312862
1991-05-01,0.8088238018315129
1991-06-01,0.31199933524495377
1991-07-01,0.28638170304188576
1991-08-01,0.26962011696702676
1991-09-01,0.19540072768347538
1991-10-01,0.044714223024835194
1991-11-01,0.04820855131650419
1991-12-01,0.07341563148311896
1992-01-01,0.09508939493384723
1992-02-01,0.03685817082630624
1992-03-01,0.04137130986396115
1992-04-01,0.046556765231649366
1992-05-01,0.03654104570635142
1992-06-01,0.020037064965126358
1992-07-01,0.038985515920327264
1992-08-01,0.07739307870362444
1992-09-01,0.08755173574453375
1992-10-01,0.006352677204781783
1992-11-01,0.019684093523096923
1992-12-01,0.025260589835852564
1993-01-01,0.0170405075984147
1993-02-01,0.00509462263729401
1993-03-01,0.0046715518780346904
1993-04-01,0.004736391234839157
1993-05-01,0.005113810204761127
1993-06-01,0.004719351914342156
1993-07-01,0.006245164867114632
1993-08-01,0.004437242678272143
1993-09-01,0.009040255921306474
1993-10-01,0.00537241484888841
1993-11-01,0.0013892213049316708
1993-12-01,0.0010244681647096421
1994-01-01,0.001035099441674213
1994-02-01,0.004579920735949739
1994-03-01,0.0011284524099183391
1994-04-01,0.0009776007729492785
1994-05-01,0.007623893884697241
1994-06-01,0.0010340285220471878
1994-07-01,0.0013038004155892392
1994-08-01,0.0015752478141055567
1994-09-01,0.001649350337874751
1994-10-01,0.0051377444446880525
1994-11-01,0.006139969943721686
1994-12-01,0.015484266315246228
1995-01-01,0.02748807609447777
1995-02-01,0.030692515308535732
1995-03-01,0.07641225764372465
1995-04-01,0.15551007128193875
1995-05-01,0.26512789848269486
1995-06-01,0.1962495859594535
1995-07-01,0.202818904694655
1995-08-01,0.22900329527578953
1995-09-01,0.2652186383990697
1995-10-01,0.23229670542681805
1995-11-01,0.2570705923094905
1995-12-01,0.21785248254171105
1996-01-01,0.2650267805423296
1996-02-01,0.14786642946333195
1996-03-01,0.16762645475746252
1996-04-01,0.14549486187619798
1996-05-01,0.1023504743289169
1996-06-01,0.0378067346223998
1996-07-01,0.038197069393707726
1996-08-01,0.034985224871326014
1996-09-01,0.03083789489115246
1996-10-01,0.022483673198839472
1996-11-01,0.01876723403306957
1996-12-01,0.023119037198707823
1997-01-01,0.022923038292284315
1997-02-01,0.01959677842437138
1997-03-01,0.016048372156077965
1997-04-01,0.014988647804592333
1997-05-01,0.014105365834484693
1997-06-01,0.019519539748895535
1997-07-01,0.024287259508059333
1997-08-01,0.026093943729669836
1997-09-01,0.029679043176584156
1997-10-01,0.014815482915334126
1997-11-01,0.02091198632268979
1997-12-01,0.0449701178346461
1998-01-01,0.07451341597729226
1998-02-01,0.07325144488357775
1998-03-01,0.10352149038287879
1998-04-01,0.1231494240133123
1998-05-01,0.20603685590207532
1998-06-01,0.13767453654318465
1998-07-01,0.18114967093617962
1998-08-01,0.23388172807012433
1998-09-01,0.540051257558638
1998-10-01,0.1790125814890903
1998-11-01,0.19224211527555216
1998-12-01,0.18180865008399869
1999-01-01,0.23606029956797978
1999-02-01,0.055612355611423255
1999-03-01,0.03951171697186071
1999-04-01,0.060840900738832936
1999-05-01,0.059194773103593445
1999-06-01,0.022953829096527947
