DATE,RFC_No_Memory
2009-03-01,0.97
2009-04-01,0.97
2009-05-01,0.97
2009-06-01,0.89
2009-07-01,0.87
2009-08-01,0.85
2009-09-01,0.85
2009-10-01,0.1
2009-11-01,0.12
2009-12-01,0.18
2010-01-01,0.22
2010-02-01,0.04
2010-03-01,0.07
2010-04-01,0.07
2010-05-01,0.12
2010-06-01,0.11
2010-07-01,0.18
2010-08-01,0.23
2010-09-01,0.27
2010-10-01,0.04
2010-11-01,0.04
2010-12-01,0.12
2011-01-01,0.12
2011-02-01,0.01
2011-03-01,0.08
2011-04-01,0.05
2011-05-01,0.09
2011-06-01,0.03
2011-07-01,0.09
2011-08-01,0.13
2011-09-01,0.2
2011-10-01,0.14
2011-11-01,0.17
2011-12-01,0.09
2012-01-01,0.18
2012-02-01,0.11
2012-03-01,0.11
2012-04-01,0.1
2012-05-01,0.22
2012-06-01,0.12
2012-07-01,0.19
2012-08-01,0.16
2012-09-01,0.11
2012-10-01,0.03
2012-11-01,0.55
2012-12-01,0.3
2013-01-01,0.22
2013-02-01,0.07
2013-03-01,0.31
2013-04-01,0.32
2013-05-01,0.32
2013-06-01,0.23
2013-07-01,0.0
2013-08-01,0.38
2013-09-01,0.59
2013-10-01,0.16
2013-11-01,0.3
2013-12-01,0.34
2014-01-01,0.28
2014-02-01,0.24
2014-03-01,0.42
2014-04-01,0.36
2014-05-01,0.33
2014-06-01,0.1
2014-07-01,0.14
2014-08-01,0.18
2014-09-01,0.18
2014-10-01,0.18
2014-11-01,0.14
2014-12-01,0.17
2015-01-01,0.24
2015-02-01,0.14
2015-03-01,0.16
2015-04-01,0.33
2015-05-01,0.33
2015-06-01,0.17
2015-07-01,0.1
2015-08-01,0.17
2015-09-01,0.17
2015-10-01,0.15
2015-11-01,0.22
2015-12-01,0.22
2016-01-01,0.23
2016-02-01,0.06
2016-03-01,0.09
2016-04-01,0.09
2016-05-01,0.11
2016-06-01,0.05
2016-07-01,0.05
2016-08-01,0.05
2016-09-01,0.09
2016-10-01,0.02
2016-11-01,0.01
2016-12-01,0.03
2017-01-01,0.06
2017-02-01,0.02
2017-03-01,0.01
2017-04-01,0.03
2017-05-01,0.04
2017-06-01,0.05
2017-07-01,0.02
2017-08-01,0.05
2017-09-01,0.05
2017-10-01,0.09
2017-11-01,0.1
2017-12-01,0.12
2018-01-01,0.12
2018-02-01,0.01
2018-03-01,0.04
2018-04-01,0.04
2018-05-01,0.04
